"","CountryName","RequestYear","DataType","variable","value"
"1","Angola",1981,"X","FPL.floor",0.373428194759241
"2","Angola",1984,"X","FPL.floor",0.373019465286649
"3","Angola",1987,"X","FPL.floor",0.373980280856182
"4","Angola",1990,"X","FPL.floor",0.370443539380754
"5","Angola",1993,"X","FPL.floor",0.333169003149955
"6","Angola",1996,"X","FPL.floor",0.352696302540218
"7","Angola",1999,"X","FPL.floor",0.357400280102725
"8","Angola",2002,"X","FPL.floor",0.363809020836953
"9","Angola",2005,"X","FPL.floor",0.386259474023016
"10","Angola",2008,"X","FPL.floor",0.431471377426189
"11","Angola",2010,"X","FPL.floor",0.430644469238333
"12","Angola",2011,"X","FPL.floor",0.430374486203888
"13","Angola",2012,"X","FPL.floor",0.438218178285131
"14","Angola",2013,"X","FPL.floor",0.440511725193135
"15","Angola",2015,"X","FPL.floor",0.438287765786509
"16","Albania",1981,"X","FPL.floor",0.707324543221918
"17","Albania",1984,"X","FPL.floor",0.709090311887586
"18","Albania",1987,"X","FPL.floor",0.709310346262421
"19","Albania",1990,"X","FPL.floor",0.719719156921287
"20","Albania",1993,"X","FPL.floor",0.715728421685256
"21","Albania",1996,"X","FPL.floor",0.720916469665745
"22","Albania",1999,"X","FPL.floor",0.710788370931006
"23","Albania",2002,"X","FPL.floor",0.706227349337976
"24","Albania",2005,"X","FPL.floor",0.733303053009117
"25","Albania",2008,"X","FPL.floor",0.714829168409876
"26","Albania",2010,"X","FPL.floor",0.670620856376932
"27","Albania",2011,"X","FPL.floor",0.665218612964398
"28","Albania",2012,"X","FPL.floor",0.658135142702319
"29","Albania",2013,"X","FPL.floor",0.660954083212131
"30","Albania",2015,"X","FPL.floor",0.657985912396483
"31","Armenia",1981,"Y","FPL.floor",0.586455138109279
"32","Armenia",1984,"Y","FPL.floor",0.59689929895863
"33","Armenia",1987,"Y","FPL.floor",0.590565602503873
"34","Armenia",1990,"Y","FPL.floor",0.588531258926378
"35","Armenia",1993,"Y","FPL.floor",0.468839897819324
"36","Armenia",1996,"Y","FPL.floor",0.504982248465317
"37","Armenia",1999,"X","FPL.floor",0.548320721465144
"38","Armenia",2002,"X","FPL.floor",0.570489640884735
"39","Armenia",2005,"X","FPL.floor",0.636350473461775
"40","Armenia",2008,"X","FPL.floor",0.677384316478489
"41","Armenia",2010,"X","FPL.floor",0.685692847743403
"42","Armenia",2011,"X","FPL.floor",0.675383130218574
"43","Armenia",2012,"X","FPL.floor",0.679986236678391
"44","Armenia",2013,"X","FPL.floor",0.646280926041868
"45","Armenia",2015,"X","FPL.floor",0.650339177072465
"46","Azerbaijan",1981,"X","FPL.floor",0.515754787591476
"47","Azerbaijan",1984,"X","FPL.floor",0.499295135876825
"48","Azerbaijan",1987,"X","FPL.floor",0.48340665144961
"49","Azerbaijan",1990,"X","FPL.floor",0.516801671992837
"50","Azerbaijan",1993,"X","FPL.floor",0.547240097308991
"51","Azerbaijan",1996,"X","FPL.floor",0.557459952218368
"52","Azerbaijan",1999,"X","FPL.floor",0.605095773400345
"53","Azerbaijan",2002,"X","FPL.floor",0.76150577737995
"54","Azerbaijan",2005,"X","FPL.floor",0.894850700758036
"55","Azerbaijan",2008,"X","FPL.floor",NA
"56","Azerbaijan",2010,"X","FPL.floor",NA
"57","Azerbaijan",2011,"X","FPL.floor",NA
"58","Azerbaijan",2012,"X","FPL.floor",NA
"59","Azerbaijan",2013,"X","FPL.floor",NA
"60","Azerbaijan",2015,"X","FPL.floor",NA
"61","Burundi",1981,"X","FPL.floor",0.449284461540729
"62","Burundi",1984,"X","FPL.floor",0.4365962309387
"63","Burundi",1987,"X","FPL.floor",0.463429901014889
"64","Burundi",1990,"X","FPL.floor",0.46698175454113
"65","Burundi",1993,"X","FPL.floor",0.451074654695858
"66","Burundi",1996,"X","FPL.floor",0.401769812083855
"67","Burundi",1999,"X","FPL.floor",0.380028781289987
"68","Burundi",2002,"X","FPL.floor",0.429383673461459
"69","Burundi",2005,"X","FPL.floor",0.487581890710261
"70","Burundi",2008,"X","FPL.floor",0.511291896659697
"71","Burundi",2010,"X","FPL.floor",0.503292536754182
"72","Burundi",2011,"X","FPL.floor",0.497938614338763
"73","Burundi",2012,"X","FPL.floor",0.494394127509562
"74","Burundi",2013,"X","FPL.floor",0.492339881419736
"75","Burundi",2015,"X","FPL.floor",0.4755300198863
"76","Benin",1981,"X","FPL.floor",0.656535292640869
"77","Benin",1984,"X","FPL.floor",0.653030666965339
"78","Benin",1987,"X","FPL.floor",0.651993838215351
"79","Benin",1990,"X","FPL.floor",0.651627070804383
"80","Benin",1993,"X","FPL.floor",0.654617320148575
"81","Benin",1996,"X","FPL.floor",0.65702645894324
"82","Benin",1999,"X","FPL.floor",0.662239554146311
"83","Benin",2002,"X","FPL.floor",0.668597566611948
"84","Benin",2005,"X","FPL.floor",0.662165045481769
"85","Benin",2008,"X","FPL.floor",0.660726451698839
"86","Benin",2010,"X","FPL.floor",0.655981650522359
"87","Benin",2011,"X","FPL.floor",0.654670567428946
"88","Benin",2012,"X","FPL.floor",0.528135629450752
"89","Benin",2013,"X","FPL.floor",0.440402247166579
"90","Benin",2015,"X","FPL.floor",0.368133414672209
"91","Burkina Faso",1981,"X","FPL.floor",0.471754361540104
"92","Burkina Faso",1984,"X","FPL.floor",0.472148877598854
"93","Burkina Faso",1987,"X","FPL.floor",0.491691180729833
"94","Burkina Faso",1990,"X","FPL.floor",0.489820146962108
"95","Burkina Faso",1993,"X","FPL.floor",0.500124461456924
"96","Burkina Faso",1996,"X","FPL.floor",0.513345549620148
"97","Burkina Faso",1999,"X","FPL.floor",0.538951294196343
"98","Burkina Faso",2002,"X","FPL.floor",0.567152204306742
"99","Burkina Faso",2005,"X","FPL.floor",0.598260759033957
"100","Burkina Faso",2008,"X","FPL.floor",0.633941238249803
"101","Burkina Faso",2010,"X","FPL.floor",0.652684501030621
"102","Burkina Faso",2011,"X","FPL.floor",0.668546310274398
"103","Burkina Faso",2012,"X","FPL.floor",0.688318006776216
"104","Burkina Faso",2013,"X","FPL.floor",0.72034638605012
"105","Burkina Faso",2015,"X","FPL.floor",0.796187521365009
"106","Bangladesh",1981,"X","FPL.floor",0.643066994031772
"107","Bangladesh",1984,"X","FPL.floor",0.658000089977955
"108","Bangladesh",1987,"X","FPL.floor",0.766724309192445
"109","Bangladesh",1990,"X","FPL.floor",0.736704091116655
"110","Bangladesh",1993,"X","FPL.floor",0.709941423513022
"111","Bangladesh",1996,"X","FPL.floor",0.716420705205712
"112","Bangladesh",1999,"X","FPL.floor",0.722185573470983
"113","Bangladesh",2002,"X","FPL.floor",0.738813904763113
"114","Bangladesh",2005,"X","FPL.floor",0.759851307181611
"115","Bangladesh",2008,"X","FPL.floor",0.768374055836684
"116","Bangladesh",2010,"X","FPL.floor",0.773331750234272
"117","Bangladesh",2011,"X","FPL.floor",0.766589785609184
"118","Bangladesh",2012,"X","FPL.floor",0.761215651639672
"119","Bangladesh",2013,"X","FPL.floor",0.757273572880663
"120","Bangladesh",2015,"X","FPL.floor",0.753308855269265
"121","Belarus",1981,"Y","FPL.floor",0.756160774452456
"122","Belarus",1984,"Y","FPL.floor",0.722592664032492
"123","Belarus",1987,"Y","FPL.floor",0.71103857722399
"124","Belarus",1990,"Y","FPL.floor",0.713380644919094
"125","Belarus",1993,"Y","FPL.floor",0.766161108746186
"126","Belarus",1996,"Y","FPL.floor",0.316314053947817
"127","Belarus",1999,"X","FPL.floor",0.571865801050539
"128","Belarus",2002,"X","FPL.floor",0.624010439362966
"129","Belarus",2005,"X","FPL.floor",0.669076509155042
"130","Belarus",2008,"X","FPL.floor",0.795552896907648
"131","Belarus",2010,"X","FPL.floor",0.813077541914708
"132","Belarus",2011,"X","FPL.floor",0.837447507093891
"133","Belarus",2012,"X","FPL.floor",0.758451561299089
"134","Belarus",2013,"X","FPL.floor",NA
"135","Belarus",2015,"X","FPL.floor",NA
"136","Belize",1981,"Y","FPL.floor",0.381725100114759
"137","Belize",1984,"Y","FPL.floor",0.355931922092662
"138","Belize",1987,"Y","FPL.floor",0.349030468784043
"139","Belize",1990,"Y","FPL.floor",0.384504197136165
"140","Belize",1993,"Y","FPL.floor",0.411803156989337
"141","Belize",1996,"Y","FPL.floor",0.428647763478543
"142","Belize",1999,"Y","FPL.floor",0.396716319422602
"143","Belize",2002,"Y","FPL.floor",0.389036648224113
"144","Belize",2005,"Y","FPL.floor",0.390620880882118
"145","Belize",2008,"Y","FPL.floor",0.396954159061146
"146","Belize",2010,"Y","FPL.floor",0.394527950663213
"147","Belize",2011,"Y","FPL.floor",0.392072657039474
"148","Belize",2012,"Y","FPL.floor",0.392599252354138
"149","Belize",2013,"Y","FPL.floor",0.390660976101203
"150","Belize",2015,"Y","FPL.floor",0.390254671486646
"151","Bolivia",1981,"Y","FPL.floor",0.651668327305766
"152","Bolivia",1984,"Y","FPL.floor",0.621717045261015
"153","Bolivia",1987,"Y","FPL.floor",0.63928537389585
"154","Bolivia",1990,"Y","FPL.floor",0.639586360717786
"155","Bolivia",1993,"Y","FPL.floor",0.424919088419476
"156","Bolivia",1996,"Y","FPL.floor",0.336551402826201
"157","Bolivia",1999,"Y","FPL.floor",0.258744463901893
"158","Bolivia",2002,"Y","FPL.floor",0.29552007541758
"159","Bolivia",2005,"Y","FPL.floor",0.327936024361907
"160","Bolivia",2008,"Y","FPL.floor",0.374447263207632
"161","Bolivia",2010,"Y","FPL.floor",0.377941266169633
"162","Bolivia",2011,"Y","FPL.floor",0.399871587726044
"163","Bolivia",2012,"Y","FPL.floor",0.352867617349132
"164","Bolivia",2013,"Y","FPL.floor",0.374265676512556
"165","Bolivia",2015,"Y","FPL.floor",0.375909368030997
"166","Brazil",1981,"Y","FPL.floor",0.406348964825491
"167","Brazil",1984,"Y","FPL.floor",0.405292365803006
"168","Brazil",1987,"Y","FPL.floor",0.403931643236272
"169","Brazil",1990,"Y","FPL.floor",0.405958882763609
"170","Brazil",1993,"Y","FPL.floor",0.38701165964421
"171","Brazil",1996,"Y","FPL.floor",0.386019011112505
"172","Brazil",1999,"Y","FPL.floor",0.411439538293109
"173","Brazil",2002,"Y","FPL.floor",0.445793065676773
"174","Brazil",2005,"Y","FPL.floor",0.455359774037487
"175","Brazil",2008,"Y","FPL.floor",0.444471021418034
"176","Brazil",2010,"Y","FPL.floor",0.429386024386405
"177","Brazil",2011,"Y","FPL.floor",0.419594662926144
"178","Brazil",2012,"Y","FPL.floor",0.4331539435763
"179","Brazil",2013,"Y","FPL.floor",0.419480946435788
"180","Brazil",2015,"Y","FPL.floor",0.46810646308839
"181","Bhutan",1981,"X","FPL.floor",0.429677250103011
"182","Bhutan",1984,"X","FPL.floor",0.455467809077315
"183","Bhutan",1987,"X","FPL.floor",0.533169332294486
"184","Bhutan",1990,"X","FPL.floor",0.574910652627502
"185","Bhutan",1993,"X","FPL.floor",0.599678409078915
"186","Bhutan",1996,"X","FPL.floor",0.64911917741885
"187","Bhutan",1999,"X","FPL.floor",0.684221301100835
"188","Bhutan",2002,"X","FPL.floor",0.708639016334181
"189","Bhutan",2005,"X","FPL.floor",0.728232529422886
"190","Bhutan",2008,"X","FPL.floor",0.688852716114605
"191","Bhutan",2010,"X","FPL.floor",0.711209287575625
"192","Bhutan",2011,"X","FPL.floor",0.725078648565132
"193","Bhutan",2012,"X","FPL.floor",0.7383234390428
"194","Bhutan",2013,"X","FPL.floor",0.681462175429209
"195","Bhutan",2015,"X","FPL.floor",0.700370450799707
"196","Botswana",1981,"X","FPL.floor",0.401183605799
"197","Botswana",1984,"X","FPL.floor",0.438213135577976
"198","Botswana",1987,"X","FPL.floor",0.458204933139036
"199","Botswana",1990,"X","FPL.floor",0.489226695045667
"200","Botswana",1993,"X","FPL.floor",0.482523500647853
"201","Botswana",1996,"X","FPL.floor",0.482762152323204
"202","Botswana",1999,"X","FPL.floor",0.487384259999361
"203","Botswana",2002,"X","FPL.floor",0.474030316929037
"204","Botswana",2005,"X","FPL.floor",0.492135337205887
"205","Botswana",2008,"X","FPL.floor",0.52979922131556
"206","Botswana",2010,"X","FPL.floor",0.539644844575196
"207","Botswana",2011,"X","FPL.floor",0.549342000019588
"208","Botswana",2012,"X","FPL.floor",0.557006420520342
"209","Botswana",2013,"X","FPL.floor",0.57023216190825
"210","Botswana",2015,"X","FPL.floor",0.579964683585998
"211","Central African Republic",1981,"X","FPL.floor",0.238334032641009
"212","Central African Republic",1984,"X","FPL.floor",0.237451612643293
"213","Central African Republic",1987,"X","FPL.floor",0.23276718248188
"214","Central African Republic",1990,"X","FPL.floor",0.227924439797404
"215","Central African Republic",1993,"X","FPL.floor",0.219550258407932
"216","Central African Republic",1996,"X","FPL.floor",0.256142067505775
"217","Central African Republic",1999,"X","FPL.floor",0.313649963019061
"218","Central African Republic",2002,"X","FPL.floor",0.392660419725917
"219","Central African Republic",2005,"X","FPL.floor",0.394669464342893
"220","Central African Republic",2008,"X","FPL.floor",0.374449988632704
"221","Central African Republic",2010,"X","FPL.floor",0.377526431738086
"222","Central African Republic",2011,"X","FPL.floor",0.38092623938271
"223","Central African Republic",2012,"X","FPL.floor",0.385645262646886
"224","Central African Republic",2013,"X","FPL.floor",0.320543769196116
"225","Central African Republic",2015,"X","FPL.floor",0.327424285927679
"226","Chile",1981,"Y","FPL.floor",0.461800139449847
"227","Chile",1984,"Y","FPL.floor",0.477401559885261
"228","Chile",1987,"Y","FPL.floor",0.476110643529781
"229","Chile",1990,"Y","FPL.floor",0.477170479719201
"230","Chile",1993,"Y","FPL.floor",0.476979606444217
"231","Chile",1996,"Y","FPL.floor",0.47715122622906
"232","Chile",1999,"Y","FPL.floor",0.438921568228053
"233","Chile",2002,"Y","FPL.floor",0.407894801494573
"234","Chile",2005,"Y","FPL.floor",0.416183343744162
"235","Chile",2008,"Y","FPL.floor",0.351076082877147
"236","Chile",2010,"Y","FPL.floor",0.350178691510227
"237","Chile",2011,"Y","FPL.floor",0.380947081554401
"238","Chile",2012,"Y","FPL.floor",0.348292812580644
"239","Chile",2013,"Y","FPL.floor",0.327260829467572
"240","Chile",2015,"Y","FPL.floor",0.263860067013887
"241","Cote d'Ivoire",1981,"X","FPL.floor",0.344166389960641
"242","Cote d'Ivoire",1984,"X","FPL.floor",0.372775046040247
"243","Cote d'Ivoire",1987,"X","FPL.floor",0.696130845500524
"244","Cote d'Ivoire",1990,"X","FPL.floor",0.6337773707752
"245","Cote d'Ivoire",1993,"X","FPL.floor",0.587219135147378
"246","Cote d'Ivoire",1996,"X","FPL.floor",0.641243653692488
"247","Cote d'Ivoire",1999,"X","FPL.floor",0.626515659204012
"248","Cote d'Ivoire",2002,"X","FPL.floor",0.578035227569209
"249","Cote d'Ivoire",2005,"X","FPL.floor",0.549145702631966
"250","Cote d'Ivoire",2008,"X","FPL.floor",0.531589310599626
"251","Cote d'Ivoire",2010,"X","FPL.floor",0.53416744668864
